,Harry Potter and the Chamber of Secrets,Unnamed: 1
1297,"and she cursed as the massive form of Hagrid, the Hogwarts’ gamekeeper, came striding",
1298,"toward them, beetle-black eyes flashing over his great bristling beard.",
1299,“Hagrid!” Harry croaked in relief. “I was lost — Floo powder —”,
1300,"Hagrid seized Harry by the scruff of the neck and pulled him away from the witch,",
1301,knocking the tray right out of her hands. Her shrieks followed them all the way along,
1302,"the twisting alleyway out into bright sunlight. Harry saw a familiar, snow-white marble",
1303,building in the distance — Gringotts Bank. Hagrid had steered him right into Diagon,
1304,Alley.,
1305,"“Yer a mess!” said Hagrid gruffly, brushing soot off Harry so forcefully he nearly knocked",
1306,"him into a barrel of dragon dung outside an apothecary. “Skulkin’ around Knockturn Alley,",
1307,"I dunno dodgy place, Harry — don’ want no one ter see yeh down there —”",
1308,"“I realized that,” said Harry, ducking as Hagrid made to brush him off again. “I told you, I",
1309,"was lost — what were you doing down there, anyway?”",
1310,Page 46 of 291,
1311,Get free e-books and video tutorials at www.passuneb.com,
1312,,
1313,,
1314,"“I was lookin’ fer a Flesh-Eatin’ Slug Repellent,” growled Hagrid. “They’re ruinin’ the",
1315,school cabbages. Yer not on yer own?”,
1316,"“I’m staying with the Weasleys but we got separated,” Harry explained. “I’ve got to go",
1317,and find them…”,
1318,They set off together down the street.,
1319,“How come yeh never wrote back ter me?” said Hagrid as Harry jogged alongside him,
1320,(he had to take three steps to every stride of Hagrid’s enormous boots). Harry explained,
1321,all about Dobby and the Dursleys.,
1322,"“Lousy Muggles,” growled Hagrid. “If I’d’ve known —”",
1323,“Harry! Harry! Over here!”,
1324,Harry looked up and saw Hermione Granger standing at the top of the white flight of,
1325,"steps to Gringotts. She ran down to meet them, her bushy brown hair flying behind her.",
1326,"“What happened to your glasses? Hello, Hagrid — Oh, it’s wonderful to see you two",
1327,"again — Are you coming into Gringotts, Harry?”",
1328,"“As soon as I’ve found the Weasleys,” said Harry.",
1329,"“Yeh won’t have long ter wait,” Hagrid said with a grin.",
1330,"Harry and Hermione looked around: Sprinting up the crowded street were Ron, Fred,",
1331,"George, Percy, and Mr. Weasley.",
1332,"“Harry,” Mr. Weasley panted. “We hoped you’d only gone one grate too far…” He",
1333,mopped his glistening bald patch. “Molly’s frantic — she’s coming now —”,
1334,“Where did you come out?” Ron asked.,
1335,"“Knockturn Alley,” said Hagrid grimly.",
1336,“Excellent!” said Fred and George together.,
1337,Page 47 of 291,
1338,Get free e-books and video tutorials at www.passuneb.com,
1339,,
1340,,
1341,"“We’ve never been allowed in,” said Ron enviously.",
1342,"“I should ruddy well think not,” growled Hagrid. Mrs. Weasley now came galloping into",
1343,"view, her handbag swinging wildly in one hand, Ginny just clinging onto the other.",
1344,"“Oh, Harry — oh, my dear — you could have been anywhere —”",
1345,Gasping for breath she pulled a large clothes brush out of her bag and began sweeping,
1346,"off the soot Hagrid hadn’t managed to beat away. Mr. Weasley took Harry’s glasses,",
1347,"gave them a tap of his wand, and returned them, good as new.",
1348,"“Well, gotta be off,” said Hagrid, who was having his hand wrung by Mrs. Weasley",
1349,"(“Knockturn Alley! If you hadn’t found him, Hagrid!”). “See yer at Hogwarts!” And he",
1350,"strode away, head and shoulders taller than anyone else in the packed street.",
1351,“Guess who I saw in Borgin and Burkes?” Harry asked Ron and Hermione as they,
1352,climbed the Gringotts steps. “Malfoy and his father.”,
1353,“Did Lucius Malfoy buy anything?” said Mr. Weasley sharply behind them.,
1354,"“No, he was selling —”",
1355,"“So he’s worried,” said Mr. Weasley with grim satisfaction. “Oh, I’d love to get Lucius",
1356,Malfoy for something…”,
1357,"“You be careful, Arthur,” said Mrs. Weasley sharply as they were bowed into the bank by",
1358,a goblin at the door. “That family’s trouble. Don’t go biting off more than you can chew,
1359,—”,
1360,"“So you don’t think I’m a match for Lucius Malfoy?” said Mr. Weasley indignantly, but he",
1361,"was distracted almost at once by the sight of Hermione’s parents, who were standing",
1362,"nervously at the counter that ran all along the great marble hall, waiting for Hermione t",
1363,introduce them.,
1364,Page 48 of 291,
1365,Get free e-books and video tutorials at www.passuneb.com,
1366,,
1367,,
1368,“But you’re Muggles!” said Mr. Weasley delightedly. “We must have a drink! What’s that,
1369,"you’ve got there? Oh, you’re changing Muggle money. Molly, look!” He pointed",
1370,excitedly at the ten-pound notes in Mr. Granger’s hand.,
1371,"“Meet you back here,” Ron said to Hermione as the Weasleys and Harry were led off to",
1372,their underground vaults by another Gringotts goblin.,
1373,"The vaults were reached by means of small, goblin-driven carts that sped along",
1374,miniature train tracks through the bank’s underground tunnels. Harry enjoyed the,
1375,"breakneck journey down to the Weasleys’ vault, but felt dreadful, far worse than he had",
1376,"in Knockturn Alley, when it was opened. There was a very small pile of silver Sickles",
1377,"inside, and just one gold Galleon. Mrs. Weasley felt right into the corners before",
1378,sweeping the whole lot into her bag. Harry felt even worse when they reached his vault.,
1379,He tried to block the contents from view as he hastily shoved handfuls of coins into a,
1380,leather bag.,
1381,"Back outside on the marble steps, they all separated. Percy muttered vaguely about",
1382,"needing a new quill. Fred and George had spotted their friend from Hogwarts, Lee",
1383,Jordan. Mrs. Weasley,
1384,and Ginny were going to a secondhand robe shop. Mr. Weasley was insisting on taking,
1385,the Grangers off to the Leaky Cauldron for a drink.,
1386,"“We’ll all meet at Flourish and Blotts in an hour to buy your schoolbooks,” said Mrs.",
1387,"Weasley, setting off with Ginny. “And not one step down Knockturn Alley!” she shouted",
1388,at the twins’ retreating backs.,
1389,"Harry, Ron, and Hermione strolled off along the winding, cobbled street. The bag of",
1390,"gold, silver, and bronze jangling cheerfully in Harry’s pocket was clamoring to be spent,",
1391,"so he bought three large strawberry-and-peanut-butter ice creams, which they slurped",
1392,"happily as they wandered up the alley, examining the fascinating shop windows. Ron",
1393,gazed longingly at a full set of Chudley Cannon robes in the windows of Quality,
1394,Quidditch Supplies until Hermione dragged them off to buy ink and parchment next,
1395,"door. In Gambol and Japes Wizarding Joke Shop, they met Fred, George, and Lee",
1396,"Jordan, who were stocking up on Dr. Filibuster’s Fabulous Wet-Start, No-Heat Fireworks,",
1397,"and in a tiny junk shop full of broken wands, lopsided brass scales, and old cloaks",
1398,"covered in potion stains they found Percy, deeply immersed in a small and deeply",
1399,boring book called Prefects Who Gained Power.,
1400,Page 49 of 291,
1401,Get free e-books and video tutorials at www.passuneb.com,
1402,,
1403,,
1404,"“A study of Hogwarts prefects and their later careers,” Ron read aloud off the back cover.",
1405,“That sounds fascinating…”,
1406,"“Go away,” Percy snapped.",
1407,"“’Course, he’s very ambitious, Percy, he’s got it all planned out… He wants to be Minister",
1408,of Magic…” Ron told Harry and Hermione in an undertone as they left Percy to it.,
1409,"An hour later, they headed for Flourish and Blotts. They were by no means the only ones",
1410,"making their way to the bookshop. As they approached it, they saw to their surprise a",
1411,"large crowd jostling outside the doors, trying to get in. The reason for this was",
1412,proclaimed by a large banner stretched across the upper windows:,
1413,GILDEROY LOCKHART,
1414,will be signing copies of his autobiography,
1415,MAGICAL ME,
1416,today 12:30P.M.to 4:30P.M.,
1417,"“We can actually meet him!” Hermione squealed. “I mean, he’s written almost the whole",
1418,booklist!”,
1419,The crowd seemed to be made up mostly of witches around Mrs. Weasley’s age. A,
1420,"harassedlooking wizard stood at the door, saying, “Calmly, please, ladies… Don’t push,",
1421,"there… mind the books, now…”",
1422,"Harry, Ron, and Hermione squeezed inside. A long line wound right to the back of the",
1423,"shop, where Gilderoy Lockhart was signing his books. They each grabbed a copy of The",
1424,"Standard Book of Spells, Grade 2 and sneaked up the line to where the rest of the",
1425,Weasleys were standing with Mr. and Mrs. Granger.,
1426,"“Oh, there you are, good,” said Mrs. Weasley. She sounded breathless and kept patting",
1427,her hair. “We’ll be able to see him in a minute…”,
1428,Page 50 of 291,
1429,Get free e-books and video tutorials at www.passuneb.com,
1430,,
1431,,
1432,"Gilderoy Lockhart came slowly into view, seated at a table surrounded by large pictures",
1433,"of his own face, all winking and flashing dazzlingly white teeth at the crowd. The real",
1434,Lockhart was wearing robes of forget-me-not blue that exactly matched his eyes; his,
1435,pointed wizard’s hat was set at a jaunty angle on his wavy hair.,
1436,"A short, irritable-looking man was dancing around taking photographs with a large",
1437,black camera that emitted puffs of purple smoke with every blinding flash.,
1438,"“Out of the way, there,” he snarled at Ron, moving back to get a better shot. “This is for",
